Tid	Kanal A
(ms)	(V)

41.29999896	2.62487700
41.34999896	2.62487700
41.39999895	2.62487700
41.44999895	2.71868800
41.49999895	2.71868800
41.54999895	2.71868800
41.59999895	2.62487700
41.64999895	2.62487700
41.69999895	2.71868800
41.74999895	2.62487700
41.79999894	2.71868800
41.84999894	2.62487700
41.89999894	2.62487700
41.94999894	2.71868800
41.99999894	2.62487700
42.04999894	2.62487700
42.09999894	2.62487700
42.14999894	2.62487700
42.19999893	2.62487700
42.24999893	2.62487700
42.29999893	2.62487700
42.34999893	2.62487700
42.39999893	2.62487700
42.44999893	2.62487700
42.49999893	2.62487700
42.54999893	2.62487700
42.59999892	2.62487700
42.64999892	2.62487700
42.69999892	2.62487700
42.74999892	2.62487700
42.79999892	2.71868800
42.84999892	2.71868800
42.89999892	2.62487700
42.94999891	2.62487700
42.99999891	2.62487700
43.04999891	2.62487700
43.09999891	2.71868800
43.14999891	2.71868800
43.19999891	2.62487700
43.24999891	2.62487700
43.29999891	2.71868800
43.34999890	2.62487700
43.39999890	2.62487700
43.44999890	2.71868800
43.49999890	2.62487700
43.54999890	2.62487700
43.59999890	2.62487700
43.64999890	2.71868800
43.69999890	2.71868800
43.74999889	2.62487700
43.79999889	2.71868800
43.84999889	2.71868800
43.89999889	2.71868800
43.94999889	2.62487700
43.99999889	2.62487700
44.04999889	2.62487700
44.09999889	2.62487700
44.14999888	2.71868800
44.19999888	2.71868800
44.24999888	2.62487700
44.29999888	2.62487700
44.34999888	2.62487700
44.39999888	2.62487700
44.44999888	2.71868800
44.49999888	2.71868800
44.54999887	2.62487700
44.59999887	2.71868800
44.64999887	2.62487700
44.69999887	2.71868800
44.74999887	2.71868800
44.79999887	2.71868800
44.84999887	2.62487700
44.89999887	2.62487700
44.94999886	2.62487700
44.99999886	2.62487700
45.04999886	2.62487700
45.09999886	2.62487700
45.14999886	2.71868800
45.19999886	2.62487700
45.24999886	2.71868800
45.29999886	2.62487700
45.34999885	2.62487700
45.39999885	2.62487700
45.44999885	2.62487700
